"","Urban Center","County","Total","Male","Female"
"123","VIPINGO","KILIFI",12183,6150,6033
"124","MATUU","MACHAKOS",12073,5687,6386
"125","MAJENGO","VIHIGA",11913,5785,6128
"126","MODOGASHE","ISIOLO/GARISSA",11814,6039,5775
"127","MAU NAROK","NAKURU",11806,5810,5995
"128","AHERO","KISUMU",11801,5384,6414
"129","IJARA","GARISSA",11792,7248,4544
"130","BOMET","BOMET",11765,6037,5728
"131","LOKICHOGGIO","TURKANA",11626,5915,5711
"132","DADAAB","GARISSA",11525,6532,4993
"133","TALA","MACHAKOS",11446,5542,5903
"134","SAGANA","KIRINYAGA",11203,5462,5741
"135","KINNA","ISIOLO",11175,5739,5436
"136","GONGONI","KILIFI",10993,5295,5698
"137","MERTI","ISIOLO",10990,5682,5308
"138","KEROKA","NYAMIRA/KISII",10881,5149,5731
"139","KILGORIS","NAROK",10845,5281,5563
"140","MATUNDA","UASIN GISHU/KAKAMEGA",10807,5208,5597
"141","GITHUNGURI","KIAMBU",10615,5057,5558
"142","TIMAU","MERU",10571,5144,5427
"143","LOITOKTOK","KAJIADO",10568,5156,5412
"144","KAINUK","TURKANA",10535,5314,5221
"145","SUBUKIA","NAKURU",10344,4949,5395
"146","SINDO","HOMA BAY",10286,4866,5420
"147","KANGUNDO","MACHAKOS",10258,5094,5164
"148","KIMANA","KAJIADO",10116,4870,5246
"149","KWALE","KWALE",10063,4888,5175
"150","CHWELE","BUNGOMA",9797,4487,5310
"151","MWATATE","TAITA/TAVETA",9572,4617,4955
"152","SALGAA","NAKURU",9447,4703,4743
"153","MARIGAT","BARINGO",9395,4536,4859
"154","KUTUS","KIRINYAGA",9143,4441,4702
"155","SULTAN HAMUD","MAKUENI/KAJIADO",8718,4183,4535
"156","MARAGUA","MURANG'A",8597,4006,4591
"157","KIBWEZI","MAKUENI",8143,3957,4186
"158","RODI KOPANY","HOMA BAY",8122,3760,4362
"159","NARO MORU","NYERI/LAIKIPIA",8097,3917,4180
"160","NANDI HILLS","NANDI",8032,3982,4050
"161","USENGE","SIAYA",7976,3813,4163
"162","GATUNDU","KIAMBU",7947,3687,4260
"163","GIRIFTU","WAJIR",7935,4322,3612
"164","BROOKE BOND","KERICHO",7896,3949,3947
"165","IL BISSIL","KAJIADO",7812,3834,3978
"166","SOLOLO","MARSABIT",7683,3929,3754
"167","NKUBU","MERU",7675,3528,4146
"168","CHOGORIA","THARAKA-NITHI",7603,3746,3857
"169","BUTERE","KAKAMEGA",7596,3503,4092
"170","SHIANDA","KAKAMEGA",7502,3448,4054
"171","MUHORONI","KISUMU",7215,3659,3556
"172","GARSEN","TANA RIVER",7176,3463,3713
"173","MARERENI","KILIFI",7085,3393,3692
"174","KAPSOKWONY","BUNGOMA",7077,3435,3641
"175","UGUNJA","SIAYA",7060,3297,3763
"176","SORI","MIGORI",7020,3299,3721
"177","KALOLENI","KILIFI",7016,3319,3697
"178","SONDU","KISUMU/KERICHO",6869,3294,3575
"179","KIMBIMBI","KIRINYAGA",6826,3221,3604
"180","MASENO","KISUMU",6771,3694,3077
"181","OTHAYA","NYERI",6650,2975,3675
"182","MUKURWEINI","NYERI",6508,3115,3393
"183","MWISHO WA RAMI","NAKURU",6499,3262,3236
"184","BURA EAST","GARISSA",6496,3530,2965
"185","KANGEMA","MURANG'A",6424,3123,3301
"186","KENDU BAY","HOMA BAY",6064,2920,3144
"187","TING'ANG'A","KIAMBU",6059,2814,3245
"188","LOLGORIAN","NAROK",6053,3017,3036
"189","KIJAURI","NYAMIRA",5993,2915,3078
"190","CHAKA","NYERI",5970,2872,3098
"191","MPEKETONI","LAMU",5957,2913,3043
"192","KINANGO","KWALE",5928,2728,3200
"193","MTITO ANDEI","MAKUENI",5626,3305,2321
"194","OLOLUNGA","NAROK",5609,2756,2853
"195","GITHIGA","KIAMBU",5565,2755,2810
"196","RIRONI","KIAMBU",5544,2631,2913
"197","NDUNDORI","NAKURU",5392,2636,2756
"198","CHEBILAT","BOMET/NYAMIRA",5373,2717,2656
"199","LAARE","MERU",5358,2656,2702
"200","ENGINEER","NYANDARUA",5324,2500,2822
"201","LOIYANGALANI","MARSABIT",5193,2340,2853
"202","NORTH HORR","MARSABIT",5177,2776,2401
"203","MAJI MAZURI","BARINGO",5138,2640,2498
"204","MALAVA","KAKAMEGA",5131,2411,2720
"205","KATITO","KISUMU",5098,2378,2720
"206","AWASI","KISUMU",5052,2377,2673
"207","LAISAMIS","MARSABIT",5047,2697,2350
"208","NAIRAGIE NGARE","NAROK",4954,2444,2510
"209","RUNYENJES","EMBU",4943,2406,2537
"210","MUHURI BAY","MIGORI",4924,2362,2560
"211","MUSORIOT","NANDI",4916,2364,2552
"212","KINAMBA","LAIKIPIA",4890,2326,2564
"213","KERINGET","NAKURU",4774,2392,2382
"214","NDHIWA","HOMA BAY",4762,2182,2580
"215","TIMBOROA","BARINGO",4744,2359,2385
"216","BURNT FOREST","UASIN GISHU",4739,2383,2356
"217","MAUNGU","TAITA/TAVETA",4713,2328,2385
"218","KEBIRIGO","NYAMIRA",4711,2218,2493
"219","KAPSOWAR","ELGEYO/MARAKWET",4709,2295,2412
"220","ILLASIT","KAJIADO",4631,2162,2469
"221","JUA KALI","UASIN GISHU",4623,2180,2443
"222","ARCHERS POST","SAMBURU",4620,2377,2243
"223","WAMBA","SAMBURU",4580,2290,2290
"224","SAMBURU","KWALE",4454,2068,2385
"225","ISINETI","KAJIADO",4437,2202,2234
"226","CHEPTAIS","BUNGOMA",4419,2124,2295
"227","KIMENDE","KIAMBU",4356,2067,2289
"228","NDUNYU NJERU","NYANDARUA",4354,2131,2222
"229","SIAKAGO","EMBU",4315,2078,2237
"230","KATHIANI","MACHAKOS",4304,2066,2238
"231","BARAGOI","SAMBURU",4254,2080,2174
"232","MOKOWE","LAMU",4249,2260,1989
"233","SOTIK","BOMET",4194,2221,1973
"234","AMAGORO","BUSIA",4182,1990,2192
"235","SEGA","SIAYA",4179,1838,2340
"236","WUNDANYI","TAITA/TAVETA",4118,2076,2042
"237","KANGARI","MURANG'A",4096,1919,2177
"238","NYANDIWA BEACH","HOMA BAY",4033,1949,2084
"239","KIGANJO","NYERI",4009,2342,1667
"240","NAMBALE","BUSIA",3993,1802,2191
"241","SEREM","VIHIGA/NANDI",3984,1923,2061
"242","NJABINI","NYANDARUA",3929,1915,2014
"243","OGEMBO","KISII",3901,1806,2095
"244","MACKINON ROAD","KWALE",3901,2047,1854
"245","KHAYEGA","KAKAMEGA",3892,1836,2056
"246","ROMBO","KAJIADO",3854,1904,1950
"247","MOSOCHO","KISII",3824,1823,2001
"248","KIRIAINI","MURANG'A",3779,1741,2038
"249","NDORI","SIAYA",3770,1677,2093
"250","KAGUMO","KIRINYAGA",3673,1702,1971
"251","MASII","MACHAKOS",3653,1741,1912
"252","FUNYULA","BUSIA",3645,1675,1970
"253","MAGONGA","KISII",3628,1743,1885
"254","MWEIGA","NYERI",3609,1737,1872
"255","NYANGUSU","NAROK/KISII",3590,1657,1933
"256","KAPSOIT","KERICHO",3545,1847,1698
"257","MAGENA","KISII",3505,1650,1855
"258","NTULELE","NAROK",3390,1606,1784
"259","ORTUM","WEST POKOT",3372,1663,1709
"260","OLDONYO SABUK","MACHAKOS",3353,1652,1701
"261","MITUNGUU","MERU",3293,1596,1697
"262","KIKIMA","MAKUENI",3269,1562,1707
"263","KAPCHEROP","ELGEYO/MARAKWET",3240,1552,1687
"264","YALA","SIAYA",3237,1523,1714
"265","BAHATI","NAKURU",3180,1532,1648
"266","MULOT","BOMET",3149,1569,1579
"267","LONDIAN","KERICHO",3148,1560,1586
"268","TARBAJ","WAJIR",3146,1597,1549
"269","CHEPSION","KERICHO",3096,1543,1553
"270","KIANYAGA","KIRINYAGA",2974,1325,1649
"271","RABUOR","KISUMU",2942,1417,1525
"272","KITHIMANI","MACHAKOS",2923,1423,1500
"273","TABAKA","KISII",2910,1314,1596
"274","TOTAL","NAKURU",2893,1429,1464
"275","FAZA","LAMU",2855,1460,1395
"276","OLENGURUONE","NAKURU",2787,1433,1354
"277","KAMPI YA MOTO","NAKURU",2775,1306,1469
"278","MARIMANTI","THARAKA-NITHI",2752,1389,1363
"279","ENDARASHA","NYERI",2743,1313,1430
"280","KIBOKO","MAKUENI",2708,1448,1260
"281","KENYENYA","KISII",2698,1328,1370
"282","KIPINI","TANA RIVER",2656,1336,1320
"283","KINUNGI","NAKURU",2573,1212,1361
"284","TURBO","UASIN GISHU",2559,1247,1312
"285","LUNGA LUNGA","KWALE",2536,1194,1342
"286","IKINU","KIAMBU",2532,1189,1343
"287","MASIMBA","KAJIADO",2504,1269,1235
"288","KAPKATET","KERICHO",2484,1310,1174
"289","NGEWA","KIAMBU",2452,1186,1266
"290","WIYUMIRIRIE","LAIKIPIA",2449,1102,1347
"291","SABA SABA","MURANG'A",2438,1130,1308
"292","KABATI","KITUI",2420,1087,1333
"293","SUGUTA MARMAR","SAMBURU",2328,1138,1190
"294","KARUGA","LAIKIPIA",2301,1196,1105
"295","KESSES","UASIN GISHU",2293,1092,1201
"296","NUNGUNI","MAKUENI",2266,1111,1155
"297","KASUKU","NYANDARUA",2209,1020,1189
"298","WAMUNYU","MACHAKOS",2190,1037,1153
"299","MUCHORWI","NAKURU",2162,1037,1125
"300","KIIRUA","MERU",2158,987,1171
"301","MAKUTANO","BARINGO",2147,1059,1088
"302","EWUASO KEDONG","KAJIADO",2144,1137,1007
"303","OL JORO OROK","NYANDARUA",2116,1028,1088
"304","RONGAI","NAKURU",2099,1036,1063
"305","SIRISIA","BUNGOMA",2096,991,1105
"306","BARATON","NANDI",2043,996,1047
"307","KIJABE","KIAMBU",2026,878,1146
"308","BAMBA","KILIFI",2015,918,1097
