"","County/SubCounty","Sex_Total","Sex_Male","Sex_Female","Households_Total","Households_Conventional","Households_GroupQuarters","LandArea(Sq km)","Density(Persons per Sq km)"
"96","EMBU EAST",129564,64571,64991,39678,39586,92,253,512
"97","EMBU NORTH",79556,39665,39888,24300,24294,6,111,719
"98","EMBU WEST",127100,63125,63966,43153,43126,27,158,804
"99","MBEERE SOUTH",163476,83311,80159,46065,45924,141,1312,125
"100","MBEERE NORTH",108881,53517,55360,29528,29483,45,784,139
"101","MOUNT KENYA FOREST",22,19,3,19,14,5,203,NA
"102","KITUI",1136187,549003,587151,262942,261814,1128,30430,37
"103","IKUTHA",82964,39986,42976,16679,16579,100,9033,9
"104","KATULANI",47108,23150,23957,12170,12166,4,324,146
"105","KISASI",46142,22646,23496,10866,10860,6,295,157
"106","KITUI CENTRAL",105991,52123,53863,29057,29026,31,422,251
"107","KITUI WEST",70871,33887,36983,17497,17465,32,416,170
"108","KYUSO",76867,36789,40077,15993,15969,24,2525,30
"109","LOWER YATTA",63329,31701,31628,15454,15021,433,1191,53
"110","MATINYANI",47811,23362,24448,11513,11497,16,264,181
"111","MIGWANI",79255,37525,41726,19096,18843,253,635,125
"112","MUMONI",29344,13748,15596,6496,6451,45,611,48
"113","MUTITU",55287,26388,28896,11521,11490,31,4710,12
"114","MUTITU NORTH",21215,10337,10877,4929,4929,NA,548,39
"115","MUTOMO",113356,54819,58531,23044,23034,10,2853,40
"116","MWINGI CENTRAL",108713,52539,56174,26753,26745,8,1146,95
"117","MWINGI EAST",85139,40314,44820,18730,18725,5,3418,25
"118","NZAMBANI",46788,22929,23857,11276,11276,NA,320,146
"119","THAGICU",15136,7141,7994,3289,3289,NA,363,42
"120","TSEIKURU",40871,19619,21252,8579,8449,130,1356,30
"121","MACHAKOS",1421932,710707,711191,402466,399523,2943,6037,236
"122","ATHI RIVER",322499,164322,158172,109735,109723,12,835,386
"123","KALAMA",54462,26764,27692,14182,14137,45,480,113
"124","KANGUNDO",97917,48697,49219,26142,26115,27,173,565
"125","KATHIANI",111890,54910,56976,28730,28730,NA,204,548
"126","MACHAKOS",170606,85486,85114,50979,50753,226,280,609
"127","MASINGA",148522,73519,75001,36251,36196,55,1407,106
"128","MATUNGULU",161557,81145,80407,44454,44399,55,581,278
"129","MWALA",181896,90427,91466,45840,45809,31,1013,179
"130","YATTA",172583,85437,87144,46153,43661,2492,1062,162
"131","MAKUENI",987653,489691,497942,244669,243979,690,8177,121
"132","KATHONZWENI",79780,39335,40442,18365,18362,3,881,91
"133","KIBWEZI",197000,98477,98517,47912,47594,318,3137,63
"134","KILUNGU",60952,29019,31932,14586,14563,23,154,395
"135","MAKINDU",84946,42204,42742,21756,21662,94,852,100
"136","MAKUENI",130375,65418,64955,34479,34352,127,609,214
"137","MBOONI EAST",97756,48152,49601,23734,23724,10,693,141
"138","MBOONI WEST",102594,49434,53159,24833,24807,26,271,379
"139","MUKAA",107549,54481,53068,28185,28109,76,804,134
"140","NZAUI",126701,63171,63526,30819,30806,13,775,163
"141","NYANDARUA",638289,315022,323247,179686,178224,1462,3286,194
"142","KINANGOP",111410,54727,56679,30970,30847,123,294,379
"143","NYANDARUA SOUTH",93870,46157,47708,25822,25650,172,314,299
