"","Year","Population (millions)"
"17","1897","2.5"
"18","1948","5.4"
"19","1962","8.6"
"20","1969","10.9"
"21","1979","15.3"
"22","1989","21.4"
"23","1999","28.7"
"24","2009","37.7"
"25","2019","47.6"
